Mot,Occurrence
je,0.096421022670618
comme,0.012951625986126
elle,0.01125232760886
pour,0.011195006943464
tout,0.008826442601396
ouais,0.008169636722673
quand,0.007494089027393
oh,0.007005322487447
y,0.0065445326614
moi,0.006422128484509
yeah,0.005731161375361
toi,0.005158789222601
il,0.005074135221935
trop,0.004819319552397
eh,0.004687339916302
même,0.004642966137909
nous,0.004393176480949
là,0.004336473395296
as,0.004303938411489
vie,0.003921297234541
va,0.003894537800583
sais,0.003658293028173
faut,0.003629178252544
rien,0.003608376657455
ah,0.003551783085168
jamais,0.003349442564002
ouh,0.003326872651784
hey,0.003209706787116
vais,0.003138728665053
tous,0.002931384706464
non,0.002718049029361
bien,0.002705159349147
sous,0.002623462675182
veut,0.002607072605711
nan,0.002605186998534
coeur,0.002602271318418
wow,0.00257616368464
baby,0.002531544321494
toujours,0.002510894094426
ça,0.002432965026567
était,0.002294567269469
oui,0.002273717229544
peux,0.00217758852281
deux,0.002141371282477
tête,0.002081151458405
amour,0.002080063764541
mal,0.002040858837964
voir,0.001952090238175
gros,0.001942710132991
han,0.001941523643183
ont,0.001822996724663
par,0.001821621602402
fois,0.001785807369712
sku,0.001762193233554
étais,0.001748820660535
aïe,0.001724958148177
nuit,0.00170653259639
dis,0.001684951884904
go,0.001676251155121
aime,0.001675556015268
mieux,0.001674233844272
no,0.001671351876832
mort,0.0016362915374
vois,0.001636043494234
peu,0.001615171409358
avant,0.001609860534136
lui,0.001590925885404
passe,0.001577108309006
donc,0.001570534601303
vu,0.001540586514149
encore,0.001531298158708
monde,0.00150457426426
temps,0.001491790779257
connais,0.001449314311443
toute,0.001432579275739
brr,0.001425903251964
vrai,0.001403985116292
crois,0.001400709028349
dis-moi,0.001363721286807
sors,0.001350005745958
sens,0.001327338264073
aux,0.001325953454198
noir,0.001275339934891
leur,0.001268705317159
mets,0.001267156121994
être,0.001261678544001
autre,0.001251213673635
belle,0.001219849954191
yeux,0.001214058503475
pense,0.001209815358667
seul,0.001202453291721
reste,0.001200998940743
pourquoi,0.001199710832639
bon,0.001185532631254
woh,0.001166600363337
gang,0.001166487558751
dois,0.001153136151103
loin,0.001150889353953
jour,0.00114665074224
juste,0.001142447931541
love,0.001141928138566
arrive,0.001140557115365
fume,0.001138975905735
