Mot,Occurrence
je,0.0746022969734493
zouker,0.012605042016806775
tous,0.01016197862469025
comme,0.0100110035198451
elle,0.009770043237468776
pour,0.008198870628389927
il,0.006850603740077618
empêche-moi,0.006618863761720931
vie,0.006194959647733512
ennemis,0.00591343943573363
sous,0.005777655151983588
moi,0.005289011735727895
même,0.005243900921034548
tout,0.004676196971295628
va,0.0044625986295660485
mauvais,0.004322832812738948
rien,0.004174095744678566
oh,0.0040724037802084955
rap,0.0038494700419858547
carré,0.0038442329438371577
vance,0.00381355932203389
halla,0.0038060897435897353
lovés,0.0037972439937941243
nous,0.0037284863103245513
shit,0.003675793086796037
couilles,0.003636817733517807
mère,0.003629639488321296
claque,0.0034441301567225344
boy,0.003391472868217047
channel,0.003391472868217047
tue,0.0032445440862912457
par,0.003197134567709461
quand,0.0031547012792535003
putain,0.0031081569282445758
vip,0.00308823529411764
pourquoi,0.0030644643366511543
dégun,0.0029212212589521417
bombe,0.0028796928327644985
vas,0.0028466987288719332
bout,0.002818602565404266
aime,0.0028161744810125794
noir,0.0027812930022875905
ouais,0.0027783365286724736
ont,0.002750747582915686
yeux,0.002735100249930879
belle,0.0027296593074258814
life,0.002705569028838117
peur,0.0026572531573411657
trop,0.0026416885141434983
guerre,0.002538920227488387
jour,0.0025368223208265916
vous,0.0023147715169436044
ferment,0.0022715800100959202
craint,0.002212633692989077
jours,0.0021994850167859157
parler,0.002168563794160126
'zin,0.002161971070532286
veut,0.002058530600814203
marseille,0.0020507582974796513
bien,0.002044902823114384
équipe,0.002014831601914827
homme,0.0019875236488214
dis-moi,0.0019291463233329128
deux,0.0019198920749987115
dos,0.0018926925608953335
vois,0.001876726509665087
caractère,0.0018530997304582286
femme,0.0018243134158760998
bise,0.0018140589569161072
tué,0.001812813221465178
grosse,0.0018047931890619114
nique,0.0017929908876979546
tarif,0.0017823193916349771
aux,0.0017624826396217574
terre,0.0016947489386110984
bébé,0.0016931307406683575
mettre,0.0016203517998578426
wallah,0.0015955198350898218
casses,0.0015873015873015938
sucre,0.0015873015873015938
gros,0.0015833477026251314
kala',0.0015756302521008469
nombreux,0.001575630252100837
parce,0.0015681452807480667
précieux,0.0015536486285032763
finis-les,0.0015519588913590376
avant,0.0015402765874738206
peut,0.001537195361635223
game,0.0015338950175010759
'bats,0.0014832478521260685
pendant,0.001481285723812225
capot,0.0014765988397040955
temps,0.001470998922682336
coup,0.0014601719651410265
capi,0.0014533976361448537
connais,0.0014415803261257716
toi,0.0014356793714217918
bronzé,0.0014312977099236609
vient,0.0014153738669958774
quitté,0.0013771186440677935
tracker,0.0013688402190144406
finir,0.0013550230525714393
go,0.0013368022533325938
tellement,0.0013189286783593219
prends,0.001293696982343055
ooh,0.0012931034482758592
mamé,0.0012909361075542282
sors,0.0012847172536920193
dis,0.0012674444435849643
mec,0.0012574454880037672
reste,0.001240720387899311
disent,0.0012398484700578045
starfallah,0.0012324870424360215
ami,0.0012279445753715017
est-ce,0.0012193967072325839
tête,0.0012186718265308454
frère,0.001215565721243056
capo,0.0012147758522757111
rappe,0.0012120794405483895
coups,0.0012080848891404435
biff,0.0011899290966386528
quartiers,0.0011895974878113895
fini,0.0011722888382860361
quartier,0.0011672561201333236
fallait,0.001165254237288133
kelkal,0.0011614401858304345
khaled,0.0011614401858304345
sac,0.0011455138444475066
sauter,0.0011446531119043903
lui,0.0011424375089147912
eux,0.0011417647821974255
armes,0.0011266866615992478
bat,0.001125511751653575
personne,0.0011254346131478353
soleil,0.0011185748664996932
pute,0.001115377535030452
petit,0.0011110742068966572
monde,0.0011079181112649797
parlent,0.0011029505888376838
aou,0.0010953745456757887
plan,0.0010953745456757887
feu,0.0010921261934956536
fils,0.0010822311774595869
dei,0.0010800775764136425
normal,0.0010538059488564141
disjoncteur,0.0010504201680672245
donnes,0.0010504201680672245
producteur,0.0010504201680672245
recales,0.0010504201680672245
séquestre,0.0010504201680672245
part,0.0010456777800432937
pris,0.0010295336096007716
mort,0.0010283661782118374
ça,0.0010157814388640487
kassim,0.0010150719513996073
alonzo,0.001014020692928972
allume,0.0010110893195960716
affaires,0.0010107816711590338
laisses,0.0010107816711590338
manies,0.0010107816711590338
retrousse,0.0010107816711590338
sachez,0.0010107816711590338
daronne,0.001003580477596314
chez,0.0010030561591697965
passe,0.0010026068748772243
vies,0.0010016025641025618
comment,0.0010012546681105287
deviens,0.0009966777408637914
fragile,0.0009966777408637914
vu,0.000995281903369063
peux,0.0009850508069405445
faut,0.0009828529489516631
jaloux,0.0009827059215453723
jamais,0.0009634145537725959
fois,0.0009606863217985924
rêver,0.0009600614439324156
black,0.0009588556476697757
tire,0.0009521706689743889
soir,0.0009457933716789492
lit,0.0009420595876590796
nuit,0.0009413981780376965
soit,0.0009361849022254327
mets,0.0009356434266226141
meuf,0.0009282283132844751
baumettes,0.0009251343754988583
alors,0.0009236278214941904
shoes,0.0009233641146083579
rafale,0.0009210599076398553
mal,0.0009125312115739327
route,0.0009088344514697339
air,0.0008932158088135972
rappeurs,0.0008928720755697643
oui,0.0008924338029237282
nouveau,0.0008810308981695125
douilles,0.0008764026537799964
tour,0.0008756780963971401
combien,0.0008677321663888565
souffrir,0.000864055299539174
blanc,0.0008504769187881922
demande,0.0008492983611263762
fui,0.0008474576271186422
voyous,0.0008468003758726783
casse,0.0008445915263346707
célibataire,0.0008423180592991949
remercie,0.0008370535714285695
jack,0.0008369686982444658
peu,0.000835119123348862
chaud,0.0008339069105980727
club,0.0008273579702151164
kech-marra,0.0008273579702151164
rihanna,0.0008273579702151164
permis,0.0008234074756514854
depuis,0.0008203423758006568
roule,0.0008200141282894973
ans,0.0008146105060596574
leur,0.0008103366149715617
parle,0.0007923422182928145
mzinga,0.0007878151260504234
ak,0.0007809526249524198
finis,0.0007778499741929041
famille,0.0007770896410102783
dois,0.0007748558765286376
côté,0.0007712837933510552
grosses,0.0007660874425592261
encore,0.0007587825762441524
uzi,0.0007583319167596667
merde,0.0007576857948685004
balles,0.0007574099518094784
baveux,0.0007571933366986402
neige,0.0007571933366986402
bu,0.0007543103448275846
packs,0.0007543103448275846
bientôt,0.0007524872531546739
écoute,0.0007505415252123994
heure,0.0007492663062131728
baise,0.0007468669416428302
balance,0.0007433397594861343
goose,0.0007432599590712864
baiser,0.000736577105902312
lalalala,0.00072674418604651
voulais,0.00072674418604651
hagar,0.0007167036583826461
corde,0.0007145579268292695
cou,0.0007145579268292695
hasta,0.000707290886426139
père,0.0007048775311693946
français,0.0006990174760097451
morts,0.000698145111703219
nord,0.0006911194273703657
poto,0.0006905616965655137
or,0.0006897366669526952
wesh,0.0006857603424026232
plat,0.0006770898462338067
roue,0.0006758860054000067
papé,0.000675614299495778
main,0.0006743881521281093
vont,0.0006740896880070231
rentre,0.0006737557500318437
haraka,0.0006734913793103434
crever,0.0006702698101966151
elles,0.0006682853398755527
amour,0.0006650171330427556
cul,0.0006638489503908113
folle,0.0006631030790694649
crois,0.0006597763583920108
zouke,0.0006565126050420195
plein,0.0006562657891655921
dettes,0.0006548509578834998
déjà,0.0006541184647742202
connaissent,0.0006510416666666652
fasse,0.0006510416666666652
mythomanes,0.0006510416666666652
quoique,0.0006510416666666652
billets,0.0006477171169923283
après,0.0006464595821942633
cette,0.0006456529659226784
big,0.0006437677573131874
coeur,0.0006413775597070705
portes,0.000637847799003324
semblant,0.0006357304826692607
compte,0.000635717951099067
joue,0.0006356426838092361
avance,0.0006355932203389816
payes,0.0006338779019022815
place,0.0006304351942318963
rio,0.000628435293933873
juste,0.000626559695676115
sûr,0.0006264576578492017
enfants,0.0006219724877769507
