Mot,Occurrence
je,0.07441886476074872
deux,0.07044535823808247
aaaah,0.013888888888888987
mmmh,0.013888888888888987
yeaah,0.013888888888888987
ààà,0.013888888888888987
pour,0.012203646717385247
monnaie,0.011850152905198861
quand,0.011453256274235324
maille,0.009194275713527465
il,0.008167247150051554
tout,0.0077622587600290945
elle,0.007703217618531657
frères,0.007206208425720672
temps,0.006655171184603396
comme,0.006481151435480777
lauren,0.006393769506415488
faut,0.006212143701610675
alph,0.0060975609756098
noir,0.00599630644206389
nous,0.005588898238353345
même,0.005504238001192241
joue,0.004481352654974235
vois,0.004446312850109732
illumine,0.004394531250000031
pièce,0.004394531250000031
trop,0.004316478993666973
vie,0.004295620499859396
nuit,0.004228231576991016
technique,0.004176474606193744
écris,0.003906250000000028
camp,0.0038802660753880546
nou,0.0038802660753880546
mecs,0.0037344390823587643
pèsent,0.003603104212860336
ennemis,0.0034179687500000243
pièges,0.0034179687500000243
programme,0.0034179687500000243
gagnent,0.0033259423503326177
perdent,0.0033259423503326177
peu,0.0033259423503326177
équipage,0.0033259423503326177
compte,0.0032531899188020896
cette,0.003144872389590095
esprit,0.00305810397553519
monde,0.0030170565274424722
sieste,0.002929687500000021
élimine,0.002929687500000021
ouais,0.0028586978380094226
prends,0.0027677878281684902
spatio-temporel,0.0027471889229625695
vortex,0.0027471889229625695
parle,0.0026543663788960027
2,0.002561740965639829
genre,0.0025497043871671697
ville,0.0024895810435622166
5,0.002464392230556524
passion,0.00245098039215688
relations,0.00245098039215688
temporaires,0.00245098039215688
péter,0.00243902439024392
par,0.002428843193866331
très,0.0023746787567165842
toujours,0.002325224510620674
vu,0.0022337572505994312
7,0.0021857479168602826
pote,0.0021857479168602826
4,0.0021595141817760343
leur,0.0021558069699134223
vivre,0.0021551724137931186
aime,0.0021326346630606416
3,0.0020821292336146257
droit,0.0020821292336146257
gens,0.002058546560803593
meuf,0.0020162499250464855
moi,0.0020016024061152047
depuis,0.0019978087111077072
rien,0.0019738862198624327
étoile,0.0019375487197937416
change,0.0018911966463414768
juste,0.0018825271283666764
veulent,0.0018821361898402104
aux,0.001860163771632333
meilleur,0.001833930036548085
veut,0.0018003430405803714
nique,0.0017935559640523005
1,0.0017772511848341357
6,0.0017772511848341357
8,0.0017772511848341357
aitem,0.0017772511848341357
dédicace,0.0017772511848341357
nine,0.0017772511848341357
occupe,0.0017772511848341357
place,0.0017772511848341357
racistes,0.0017772511848341357
rage,0.0017772511848341357
revient,0.0017772511848341357
ten,0.0017772511848341357
vaccin,0.0017772511848341357
alpha,0.0017363091968109208
attends,0.0017241379310344949
billets,0.0017241379310344949
cents,0.0017241379310344949
façon,0.0017241379310344949
marchand,0.0017241379310344949
mister,0.0017241379310344949
partagée,0.0017241379310344949
sable,0.0017241379310344949
saine,0.0017241379310344949
sandman,0.0017241379310344949
seine,0.0017241379310344949
tous,0.0017192621080671915
putes,0.0016838417266424246
fous,0.0016613039759099475
champ,0.0016505466778805836
sous,0.0016484790516354479
mort,0.0016077531930203388
don,0.0015893119790815606
flingue,0.0015689795616113855
foutre,0.0015576852926642909
être,0.001555285722851843
rap,0.0015492100112396363
assure,0.001529051987767595
doigts,0.001529051987767595
droits,0.001529051987767595
