Mot,Occurrence
je,0.08729585518880989
pour,0.013465618757285181
tout,0.010415223364391117
comme,0.01030335142359011
va,0.009074646521276724
moi,0.007386560526458265
rien,0.006602863797413755
il,0.006495772394002607
aller,0.0063735493432362355
vais,0.006075552247487311
elle,0.005515960344147055
ouloulou,0.005367896256144901
as,0.005283598274401773
aime,0.005072443802631873
jamais,0.0050039975055489495
y,0.004579701124782251
négro,0.0043979404695954835
nous,0.004394167666983348
tous,0.0038279130809256543
bien,0.0036056653889053165
lui,0.0035974187387000597
quand,0.0034094744614998097
izi,0.0032891373333989588
vie,0.0030299526724630313
mère,0.002882133641848878
ridin',0.002830188679245297
trop,0.0027606589760631964
noir,0.0025955558834461732
toi,0.0025727598078640074
chez,0.0024563426772246273
pute,0.002425095894670057
parle,0.0022865012976500286
gros,0.0022680962143979515
aujourd'hui,0.002150267710318196
là,0.002144229322791097
gang,0.002141189787387031
mula,0.002103334541279065
magnifique,0.002100840336134464
folie,0.0020380434782608795
non,0.00203763763763252
car,0.001968126314923339
arrête,0.0019621159506382694
négros,0.001927568043372593
deux,0.0019182059645624755
hauts-de-seine,0.0018613880201196016
rap,0.0018332279078539355
vous,0.0018301251790940956
sais,0.001822672285279229
être,0.0018189250433592661
suite,0.001810301734096928
flow,0.0017680338828576301
bonne,0.0017429407525873008
même,0.0017321844345484579
ouais,0.0017149991280348267
ira,0.0016815808503822121
coeur,0.0016738940737365763
chatte,0.0016706626617795071
eux,0.0016602794172724028
monde,0.0016494330748880643
très,0.001641079350021319
toujours,0.0016372419564380995
mets,0.001622949959586196
fuck,0.001622591651057125
peu,0.001564083993368262
ounga,0.0015616317377153367
dis,0.0015543093326602852
parler,0.0015306521270643226
faut,0.0015048377715784446
disons,0.001462083541426914
mélanger,0.001462083541426914
par,0.0014545853475310994
à,0.001440948981109631
coup,0.0014368234505825373
juste,0.0014361299345230563
ni,0.0014186027893146433
laisse,0.0014156203238811541
veut,0.0014117248971135803
vas,0.0014048235646702016
depuis,0.0013995323324363976
beaucoup,0.0013919609580580912
aux,0.001387051656453404
quoi,0.0013722667793340535
ont,0.0013618858002953929
bang,0.0013609544353406684
fils,0.001347026952775814
sous,0.0013166343287830604
92,0.001305789677999148
mal,0.0013025586450864887
pourquoi,0.001275047174718579
dos,0.001267476174970986
oulala,0.0012562814070351822
faudra,0.0012528526342166593
argent,0.0012521759707602846
donc,0.0012519566956017071
reste,0.001245596057010367
loin,0.001239649617514926
leur,0.0012148402766024337
vrai,0.001205643922542843
évadé,0.0011935958869921193
dieu,0.001190517908075714
couilles,0.0011760338244117144
city,0.0011733032727413656
jours,0.0011603960299745731
vois,0.001148696217755149
serai,0.0011412352159494133
oh,0.0011392349777215528
demande,0.0011384319254951457
vient,0.0011278382781639285
gangster,0.0011104289627779618
main,0.0010982799927792854
carrière,0.0010966592345476125
prendre,0.0010943176277158385
péter,0.001070819605942193
duc,0.00106399276228553
wooh,0.0010613207547169863
carrières,0.0010606332350834784
avant,0.0010559404599625997
tête,0.0010495420949882346
armes,0.0010472320536661353
cul,0.0010437036347477088
baiser,0.0010182062599496217
putes,0.0010065585619955621
demain,0.0010056873352753551
alhamdulillah,0.001001602564102569
haine,0.0010007485315218548
pigeons,0.0010006586613973806
peux,0.0009927432325748356
dur,0.0009897801574596024
sale,0.0009886984494585352
mieux,0.0009885508437052098
veulent,0.0009842484229991594
niquer,0.000980080451826582
millions,0.0009788763515705577
avoir,0.0009765402780640623
fume,0.0009736052133327678
pense,0.0009683657705652489
passe,0.000952187058361839
guerre,0.000949053984073905
toutes,0.0009423593912419078
bamboula,0.0009422110552763865
viens,0.0009410170702759056
mères,0.0009405386541333585
peine,0.0009386058519295106
marier,0.0009308510638297919
sang,0.000926678729880067
bon,0.0009248087832646703
nique,0.0009196775190797738
vaisseau,0.0009083626314100277
pirate,0.0009074022531637554
ennemis,0.0009065647708795756
autre,0.0009054989463719583
b2o,0.0009011245319057502
bakel,0.0009006431163602774
baise,0.0008988938401249702
biatch,0.0008856805547310701
quitte,0.0008729882344411143
vu,0.0008714188332402996
crois,0.0008707730275170364
choix,0.0008638899142775155
mailler,0.0008623219408380137
attends,0.0008577400173864456
bats,0.0008549771997575421
passent,0.0008528903119001474
petit,0.0008485868492095375
