Mot,Occurrence
je,0.06862808399319015
comme,0.05521530842309355
négro,0.03309727086129728
so,0.021040615313706004
ekip,0.02013737591846556
goddamn,0.010081044469881152
gaddamn,0.009775348207845527
667,0.009583124656132092
pétasse,0.009219069572573329
arrive,0.008628235931520279
chen,0.008518862538073255
zen,0.006501131739442199
fume,0.006446593646160334
fuck,0.005871555422394165
pour,0.0053970627785115514
âme,0.005326627744860206
ldo,0.005066999832319966
vendrai,0.0047709578630073905
conso,0.004638915129339172
as,0.004589775096022073
tous,0.004516481035568454
mms,0.004219568379014205
eux,0.003910927379637902
jours,0.0036025126002639527
nique,0.003437497651219953
sous,0.0033252485970861854
2016,0.003293771011609238
salope,0.003285311965519789
négros,0.0031637926352999484
lean,0.0029806005740890193
gas,0.002894089886499772
alphonse,0.002858627858627872
noir,0.002854310675105663
caca,0.00283197450526423
sens,0.00275535749178046
villa,0.0026575628454575183
veut,0.0025762550927984386
nous,0.002545201012565828
xan,0.00252213245305888
au-dessus,0.002480901420107512
stress,0.0024547498053384157
flow,0.0023947926213141284
élèves,0.002393596004614938
secte,0.002386620629370028
bitch,0.002382495196433261
v'là,0.0023543618209795098
elle,0.002314303748132987
y,0.002282150172614639
vois,0.0022466617959368525
kaki,0.0022342652661999363
cash,0.002228119481349998
chaque,0.0022234371541815026
vie,0.00221324117578509
quotidiennement,0.0022108717301933495
sais,0.0022008169876561842
prod,0.0021913319939814114
noirs,0.002169927484970971
regarde,0.0021634049643113303
haha,0.0021608259690404728
rap,0.0021305795174958947
mode,0.0021112809192279486
shit,0.0020939907926327134
black,0.0020488553387714953
avion,0.0020376974019358216
peur,0.00201252236135958
centre,0.0019949027910417844
pop,0.001992357855602339
bientôt,0.0019881126014510138
beaucoup,0.0019881068118693408
jour,0.0019812438374907466
à,0.0019654672397064425
tout,0.0019561306516210825
toi,0.0019148425920288627
squa',0.0018858329003679716
quand,0.001880183262662163
avance,0.0018590587467904505
va,0.0018541487408459648
nrm,0.001850138904009831
même,0.0018451595299714407
lacker,0.0018199233716475213
paquets,0.0018199233716475213
killu',0.001797128637719468
finir,0.0017907056797948208
découpe,0.0017782314149747754
fdt,0.001749541819856525
leur,0.0017483582826907317
peux,0.0017441658255067636
yeuz,0.0017211407496003758
cherche,0.0017165523032094969
cette,0.00171559216997337
merde,0.0016636384078487516
vision,0.0016400447731392378
libérez,0.0016334649484970962
gros,0.0016327900194800058
jack,0.0016304305386863874
mets,0.0016284161154132219
mal,0.0016124529513221512
sirop,0.001608469532465212
micro,0.0016034875352797192
hein,0.001526985742040249
complote,0.0015190320500117797
graille,0.0015164733488392944
trop,0.0015136602599280012
cocktail,0.0015059457356696201
sang,0.0014903254325691084
dieu,0.0014820429138311354
clan,0.0014769422596144096
corleone,0.0014668259988317271
alarme,0.0014367816091954116
essence,0.0014239952235244374
deux,0.0014212218124078073
nègres,0.0014014934330008634
vient,0.0014011381506148337
mages,0.0013873901649452815
f,0.0013779497601731077
diable,0.001374359203624234
prends,0.0013741915403294206
2,0.001373483249972333
qualité,0.001355597846299719
consommé,0.001340996168582384
faya,0.0013111553983696672
6,0.001308007099072464
défense,0.0012920813645018762
rep,0.0012824330197211613
usine,0.001272781820517446
karim,0.0012720210088631198
sprite,0.0012665913499220996
âmes,0.0012527172398417114
fils,0.0012489314290818425
vu,0.0012484422131161332
décibels,0.0012452107279693567
house,0.0012440003428515593
trap,0.0012440003428515593
'teille,0.0012345679012345757
pète,0.0012345679012345757
biatch,0.001229693366222641
sapeurs,0.0012215876472701605
là,0.0012182004368346423
mic,0.0011495076006027703
france,0.0011486996500377467
comptant,0.0011444921316166024
montant,0.0011444921316166024
paies,0.0011444921316166024
android,0.0011306554988212208
grand,0.0011300321211712137
9,0.0011259808032420505
