Mot,Occurrence
je,0.10671678722753561
elle,0.014847903943584716
comme,0.012908336661574463
ah,0.011202198364951413
y,0.011095866849291309
ouais,0.010817420544442229
pour,0.009943910221434605
tout,0.009552930669708044
moi,0.008516221816741332
as,0.007783887676644882
vie,0.0076462509842681456
vais,0.007337451886425898
quand,0.007295303009813015
sous,0.007054573115713137
faut,0.006177995438355987
il,0.005874847582393285
trop,0.0054961677973082886
sais,0.004918324373596954
ça,0.004823448983281676
dis,0.004782042937147804
voyou,0.004646886750841256
là,0.004514082023785389
eh,0.004421069115893522
toujours,0.004352366964061499
toute,0.00433860600733075
nuit,0.0043359723889481285
pah,0.004325259515570936
na,0.004301025865765654
aïe,0.0042992054988612
sort,0.004220586688100368
même,0.0040067394451262645
mauvais,0.0038932213251623676
rien,0.0038041012867554864
pourquoi,0.0037051114088755477
mets,0.0034888000919122038
garçon,0.003467989082691238
veut,0.00340904551871117
oh,0.003344067291872428
mens,0.0031746031746031447
toi,0.0030718074647668884
tête,0.0030514642226262823
aime,0.003040361358971424
ont,0.002902721448274672
maintenant,0.0027986775978911284
gros,0.002721198734611975
hein,0.002694625180328423
gens,0.002629699743426519
tous,0.0025347455861495652
nous,0.002459432576672209
fois,0.0023630670169643765
hun,0.002361270189067587
met,0.002249538322155796
passe,0.002239130679850758
yeah,0.002232245456609821
or,0.002125057381116625
sang,0.002114667631894862
lui,0.0020931629292960546
jaloux,0.0020886195470572913
pardonner,0.0020307513780098646
monde,0.00202920625191863
parle,0.00202733429194737
seul,0.002018732600831724
fou,0.0020107854642172603
coeur,0.0020096488159391124
va,0.001987287163641139
hey,0.0019872840279786157
loin,0.0019753493831195534
soir,0.0019429771831088209
ailleurs,0.0019124800547734228
vu,0.0019108300032520294
leur,0.0019099013901587446
mathafack,0.001887077294685991
mode,0.0018680821141666124
bonne,0.0018545093005433797
baise,0.001845305098259932
nan,0.0018422993388023897
redonner,0.0018131708732230935
buzze,0.0018115942028985514
poto,0.0018058737691768476
autre,0.0017930512572932296
problèmes,0.001741570771620432
ovni,0.0017028236271118993
fume,0.0017006712258951719
peu,0.0016994950945478527
dites,0.0016899028305872419
vois,0.0016801173127010207
bien,0.0016090088941511337
vous,0.0015127661392843896
haine,0.001503008516800331
bon,0.0014915007977318315
après,0.0014909511196739113
jour,0.0014748340241739612
shit,0.001474105187363745
platine,0.0014733763355331648
peux,0.0014612655161546763
sait,0.0014531884975358068
zone,0.0014163069844337717
prends,0.0014111103487177464
béton,0.0013742771816589584
aie,0.0013725490196078304
grr,0.001367025557524362
arrête,0.0013604648043761742
tue,0.0013468639223104917
voir,0.0013453417033212317
pleins,0.0013242516493123108
belle,0.0013148982576006336
photo,0.0013066149907039117
aux,0.0013059497299700385
finir,0.00129430565646663
veulent,0.0012899250385341769
feu,0.0012820512820512827
étais,0.001280022453339611
écoute,0.0012562802668775106
bébé,0.0012471906871332982
nique,0.0012308900590858108
personne,0.0012298835628369838
maman,0.0012264562247468835
dieu,0.0012051994790189546
motards,0.0011981921677193304
bande,0.0011959556171393289
mal,0.0011940670644760634
amour,0.0011884538019203829
cheh,0.001186239620403322
pense,0.0011664768517169796
coups,0.001165068035474301
par,0.0011610817167400438
deux,0.0011603193842381686
alors,0.0011593872586724864
viens,0.0011583242555046195
jamais,0.001136708713737857
bonheur,0.0011312599525527287
pareil,0.001129931313174457
potos,0.0011199411815901487
fond,0.0011148645253223636
croquer,0.0011116011050583228
rentrez,0.0011063526052819312
quelle,0.0010987404408457045
mène,0.0010981678605699499
folle,0.0010961158376337453
claquettes,0.0010895724333310178
team,0.0010835717632524293
changé,0.0010762777664486464
choque,0.0010636734421778505
prend,0.0010428222859046273
coup,0.0010211900545289562
joue,0.000999373423688946
connais,0.0009993204893461295
donne,0.0009980693060498383
fils,0.0009854234068203253
classe,0.0009770386802198478
cross,0.0009715544657201367
dors,0.0009683213233662267
mieux,0.0009614896025619195
ouh,0.0009547928135798399
temps,0.0009524906045774452
jul,0.0009380097432700354
buzz,0.0009371600513341455
coco,0.00093174835616045
up,0.000930444813713215
voit,0.0009207329184909913
calcule,0.0009157991252198982
boss,0.0009136802511557139
laisse,0.0009071484887078706
reste,0.0009059220995389593
p'tit,0.0009040976438206879
ex,0.000902485495626976
dents,0.0008865431877496503
danse,0.0008853761373878142
beaucoup,0.0008818068088580512
oublier,0.0008780224151696401
tours,0.0008778361014322534
signe,0.000875959228297423
pars,0.000866805157192452
13,0.0008617947555868454
couilles,0.0008503046971956678
sorti,0.0008463905580058861
depuis,0.0008461160423289568
crois,0.0008396608577384152
oublie,0.0008373799031255422
