Mot,Occurrence
je,0.10321831065568744
comme,0.022667397963863738
pour,0.015256538418024405
sous,0.007410468164816463
tous,0.006899546367086984
moi,0.0067800282856393685
aide,0.006562967044567992
nous,0.006491247000871218
porter,0.006309790352127005
thug,0.006180623725741896
2,0.005854709299805139
63,0.005845816587504562
demi,0.005715646582519643
même,0.005711876844792187
bébé,0.005694927591203778
club,0.005523333212270915
kaaris,0.005340162249310951
amg,0.005297771282426009
27,0.005191441791534193
arrive,0.0049103249407254235
tard-pé,0.004477915733767552
rien,0.004466666524541459
ients-cli,0.004252303330970939
elle,0.004231138130297414
cette,0.004160281270793416
prépare,0.004138997191969804
cuisine,0.004019921221500644
click,0.0038032441690438873
bouffes,0.003779825183085279
sang,0.0036242423255568048
veut,0.003521434585494652
bouchon,0.003476567932137391
liège,0.003476567932137391
pète,0.003476567932137391
fond,0.0032185985150764685
peux,0.0031982163269737907
mélodie,0.0031653917172250043
oh,0.0030749649257293256
tout,0.0030451671957151144
gros,0.002969374914510428
assez,0.0029619943572225626
enfer,0.002958526952205762
leur,0.002945112483410115
il,0.002944233204574856
back,0.002859818208076946
future,0.002859818208076946
va,0.002829110923654503
orh,0.0028030286398588768
sevran,0.0027419528801190672
quelques,0.002709980179104342
nan,0.0026393400552879188
crack,0.0026290083284375367
paradis,0.002588810585358836
sortir,0.002560169738822435
zoo,0.002525924985805519
barbe,0.002486552730802678
coeur,0.0023557048344059195
jours,0.0022879255049999435
non,0.002270936278521612
par,0.0022563174857798485
grand,0.0022201808711234576
temps,0.002215779394294384
poto,0.0022082762741078344
toutes,0.0021878285194243726
remplir,0.0021780551850873616
singes,0.00217060994139353
viennent,0.00217060994139353
binks,0.002082248828735032
keffieh,0.0020567667626491142
évier,0.0020567667626491142
pieds,0.002054631710646364
mmmmhhh,0.0020354162426216146
bibi,0.0020015567663738444
coupe,0.0020015567663738444
emballe,0.0020015567663738444
mienne,0.0020015567663738444
pètes-pètes,0.0020015567663738444
ont,0.00197990168753444
prends,0.0019585474149299673
connais,0.0018854295581223525
vie,0.0018731247975486804
seau,0.001872294231688109
bonnet,0.001857585139318884
y'en,0.001857585139318884
juste,0.0018565673527703459
quand,0.0018551674403349796
voir,0.001833422469987485
ennemis,0.001822791897027868
oseille,0.0018071424911542168
ennemi,0.0017784111321925353
sale,0.0017526042567422792
cul,0.0017494031934727893
peuvent,0.0017341859908844093
clique,0.0017271824301953412
armés,0.0017028225398154817
27093,0.0016687526074259478
conso,0.0016687526074259478
mets-moi,0.0016687526074259478
mère,0.001655289097116484
noir,0.0016482203365065329
instant,0.001645413410119291
marbre,0.001645413410119291
rêve,0.001645413410119291
mort,0.0016271430665044549
bitch,0.001620176825583283
4124,0.0016083701955400917
amis,0.0015826958586125021
famille,0.0015826958586125021
peut,0.001574905149215562
deux,0.0015089975295709533
grammes,0.0015059597331940568
pire,0.0014641827631027829
vous,0.0014637502253601314
grosse,0.0014626435957261013
jour,0.0014556725637529283
gémit,0.0014289116456299108
promets,0.0014210718612387733
ient-cli,0.0014174344436569798
époque,0.001413563562967998
monnaie,0.0014119108286071752
négro,0.0014103143917292462
chaque,0.0013888452453041165
couilles,0.00137256329193346
crame,0.001361991906410614
allume,0.0013361866485724714
trop,0.0013106447047669383
clos,0.0013023659648361177
père,0.001294405292679418
jusqu'à,0.0012891519543201037
leurs,0.001242278287833351
sommet,0.001238390092879256
violet,0.001238390092879256
prendre,0.001217433518270121
clic,0.0012154045620910573
entre,0.0012034773518770172
crois,0.0012010358767603694
existe,0.0012004801920768296
guerre,0.0011917914123814443
plaide,0.0011866284975528664
être,0.0011860986050372811
chiennes,0.0011686421739803934
hug,0.0011594537096407615
larmes,0.0011580490552657678
futur,0.0011523220124993964
elles,0.0011447281651969586
derrière,0.0011336085017279375
double,0.0011249904883370557
parce,0.0011210821540940132
têtes,0.0011196742765740867
remède,0.001104206963959177
froid,0.0010960906101571055
mets,0.0010815837087362321
faut,0.001062497661592643
oui,0.0010620116927700194
peine,0.0010589856657093034
brasser,0.001041124414367516
liasses,0.001041124414367516
passé,0.001041124414367516
depuis,0.001036673054678042
chienne,0.0010275870032490809
sors,0.0010253463160236587
aime,0.0010253038182203907
déjà,0.0010151065523521178
