Mot,Occurrence
je,0.0760129822243721
comme,0.01717690141232991
pour,0.011336974902232906
gueko,0.0059833888629825735
toute,0.00585041169501802
rap,0.005641197565957821
tout,0.005592014987237063
trop,0.005102539412102466
quand,0.00470756354006834
boîte,0.004440789473684212
tous,0.004253051831578328
elle,0.004205541898998361
il,0.004168618852879302
barlou,0.00401893876697141
aux,0.0038813461976218906
nous,0.0037108373275783675
vie,0.0032045820765907802
bonne,0.00318966190795693
pute,0.0031632460838151603
même,0.003144608518769269
shimmy,0.003135888501742161
jamais,0.0030720912947596562
tête,0.0029072844158147516
ont,0.002838203350163898
main,0.002826311091820121
arrose,0.0027960526315789483
faut,0.002781811861838084
moi,0.0026697251250975555
niquer,0.0026162228410265354
mère,0.0025572229982094513
chez,0.0025568927505834724
vous,0.0025070736090226356
bien,0.002506357795623264
toi,0.002496083318508707
coke,0.0024641839907471037
va,0.0024369593030870943
leur,0.002407563619347175
personne,0.0023502584695787466
toujours,0.0023329045674249952
alcool,0.0021590414545194915
shit,0.0021437449733128617
rien,0.002138515027190628
deux,0.002125110406469542
par,0.0020707908719677136
benco,0.00206896551724138
putain,0.0020235882717341753
obligé,0.0020146520146520153
mort,0.0020034968650024096
ni,0.0019951746089053946
aime,0.001962991448283614
nique,0.0018650380756722658
doigts,0.001846388437106609
arrive,0.0018429098894362725
classic,0.001807228915662651
mis,0.00179652575478917
nan,0.001793086074949462
ouais,0.001741932054805996
yo,0.001739026618826429
mélange,0.00172872340425532
non,0.001709005181353938
prends,0.0016982355325358383
passe,0.0016720668374813705
shop,0.0016673290937996826
seth,0.0016604739488138426
cuisine,0.001650615800425379
obligatoire,0.001648351648351649
chaque,0.0016355998221326334
reste,0.0016191016424491
entre,0.0016097653168492816
frères,0.001606955843602998
monde,0.001597426736809853
baise,0.0015376819332795237
oublierai,0.001533742331288344
plein,0.0015211112347335264
tatouage,0.0015202702702702708
tattoo,0.0015202702702702708
maison,0.0015187981687635867
bar,0.0015144770592013562
temps,0.0014954906355555916
barry,0.0014769036448935408
casse,0.0014643946390139042
demande,0.001463216804272348
après,0.00145729431712931
billets,0.0014252133451751173
rentre,0.0014245253177946208
peux,0.0014119819369134245
car,0.001410046895105037
rappeurs,0.0013850755948422438
crois,0.001381853698995278
bon,0.001378452930305459
homme,0.001371612531204676
gros,0.0013707128114968388
fils,0.0013666833760849892
faites,0.0013596207713854778
rue,0.0013570092475359203
pense,0.0013456209184792094
péter,0.0013427942027013238
moins,0.0013385316997806087
grosses,0.00133376783720964
leurs,0.0013329780661551704
trash,0.0013235294117647063
white,0.0013235294117647063
juste,0.0013224150435871922
veut,0.0013219731599581268
p'tit,0.0013195661404360678
pow,0.0013047324192835034
bu,0.0012873969076015116
sang,0.0012814077909078857
lui,0.0012743589860442967
face,0.0012637153083377344
seum,0.0012605042016806728
philipp,0.0012536998605110067
chatte,0.0012439006239644106
gars,0.0012298567066386613
calvasse,0.0012195121951219517
7h,0.0012027491408934713
mat,0.0012027491408934713
mois,0.0011958985768859415
préfère,0.0011910424111099536
debout,0.001185726596661454
fuck,0.0011840210362604334
micro,0.0011785439630863884
honneur,0.0011764705882352944
être,0.0011613692646685674
france,0.001156605056088734
fort,0.0011564650410082204
couilles,0.0011397319564590146
donne,0.0011393897461128405
crâne,0.0011364823085498446
rime,0.0011356332617737002
voir,0.0010996535274883997
condés,0.0010964912280701758
potes,0.0010939151592509128
diable,0.0010898526112857428
sors,0.0010831771887938593
cul,0.0010755135776011823
post-it,0.001073619631901841
attends,0.0010665112065525448
dieu,0.0010596399661714252
mal,0.0010467131395076538
6,0.0010452961672473872
chimio,0.0010452961672473872
coma,0.0010452961672473872
pensée,0.0010452961672473872
yeah,0.0010413519317666031
cess,0.00103448275862069
heinco,0.00103448275862069
ier-ch,0.00103448275862069
pack,0.00103448275862069
tieq's,0.00103448275862069
vas,0.00103448275862069
défonce,0.0010309278350515466
aussi,0.0010190621752771813
état,0.00101274992755723
realness,0.0010033444816053515
veulent,0.0009997582551474007
mec,0.000989783089482638
lois,0.0009873949579831936
mauves,0.0009868421052631581
pauvre,0.0009868421052631581
belle,0.0009845148042939371
gueule,0.0009844828706522298
putes,0.0009840828068519495
jusqu'à,0.0009757426541814662
avant,0.0009757382408995145
alors,0.0009736019245723162
or,0.0009724784705684913
avoir,0.0009608168296891095
oui,0.0009599352712004721
cheveux,0.0009596475349990839
keufs,0.0009587220509059823
dors,0.0009518142151606398
tard,0.000947097759540373
bleh,0.0009374094465372358
vois,0.0009327214688348032
toutes,0.0009267450229691581
queue,0.0009266155580295527
mc,0.0009211930053879232
coup,0.0009167145869273533
bras,0.000912804666674636
mains,0.0009122588051834773
milieu,0.0009029927760577918
cuisses,0.000902230896606239
caisse,0.0008907832614729171
