Mot,Occurrence
je,0.09748176743042888
comme,0.013095616800950822
pour,0.013093768492066431
tout,0.00892915021999317
quand,0.006507534418533573
elle,0.006486488509717178
moi,0.0063871895517232215
il,0.005718683655739725
as,0.005239206087802992
ouais,0.005056225106458395
sais,0.004199462424548645
tous,0.004172287301569911
hey,0.004135403005351798
va,0.004107959895504598
nous,0.004055993113672126
yeah,0.004050916310966176
toi,0.0038692430471821172
même,0.0038204753210138807
trop,0.0037029666185564043
oh,0.003632907760336772
vie,0.0035092745728920382
faut,0.00350681086075636
y,0.003495446330519267
rien,0.003381232723981078
vois,0.0029831641371150983
bien,0.002807771775676516
vais,0.002788014560829313
toujours,0.0027455185973678372
sens,0.0026034939554513276
là,0.002603489522106278
par,0.0025342172707705384
sous,0.0025234967586500326
jamais,0.002412684562295164
gros,0.0023333841560394283
dis-moi,0.002326450639169838
donc,0.0022905305823554896
aime,0.0021525776408744886
veut,0.002138139003699843
deux,0.0020937281979419476
temps,0.002059399137116398
coeur,0.0020215889854184746
mal,0.0019782019220988645
peux,0.001947062535095774
vu,0.0019115662725289553
ville,0.0018894179992086368
amour,0.001883086649520687
oui,0.001824077517610349
ont,0.0017891267882620787
lui,0.001724983823325957
négro,0.0017210665942678034
mort,0.0016586626209576716
depuis,0.0016522874342164732
monde,0.0016314079155178194
toute,0.0016307185345530587
cette,0.0016199110633551698
mieux,0.001602931844448133
tête,0.0016018544460131875
passe,0.001549300125927848
être,0.001518536013384338
vous,0.0015148563274142983
aux,0.0014880338804910307
encore,0.0014614493692304588
fond,0.0014589022940548714
arrive,0.0014554489146128501
cash,0.0014322893468335888
leur,0.0014305294001072711
personne,0.0014122285023675132
mets,0.0013989592055023577
reste,0.0013957814306447163
après,0.001351733628005965
vrai,0.0013150163264073612
pense,0.0013084483007982845
dire,0.0013000944229290766
fume,0.0012967440942397953
peu,0.0012853740396268963
jours,0.0012835905589228041
avant,0.0012636911283222263
fois,0.0012526749204792747
étais,0.0012460146378710268
connais,0.0012340699822159568
était,0.0012195008407692523
bon,0.0012074761468866906
sale,0.001204465133057994
pourquoi,0.0011997898547512094
parle,0.001195179837100347
argent,0.0011927620837073277
prends,0.0011843111312737427
seul,0.0011771379780504785
dis,0.0011727977999569724
go,0.001159916451765737
regarde,0.0011547337186003223
eh,0.001132703315649581
nuit,0.0011280899260661418
roule,0.001122287979964308
loin,0.001116497523642213
chez,0.0011082926434484352
ah,0.0010931025837625343
crois,0.0010683095949831486
car,0.001067218166661653
coup,0.0010663255682027606
maintenant,0.0010578871369422527
comment,0.001056084196043552
non,0.0010554822758674874
toutes,0.0010496209616532766
gens,0.0010372504582648807
très,0.001027069920637563
